COD,LOC,REF,PRC,QTD
7899648800010,ANTENA / SUPORTE,"Suporte para TV Plasma, LCD e LED Universal Parede para até 84"" 70.030.1",28.90,4.00
2993500053103,ANTENA / ACESSORIOS,Switch HDMI 3 Entradas x 1 Saida 26.123,39.90,11.00
3009015,ELETRICA / X,T Sistema X 6204 Ilumi 30.074 30.09.015,1.90,7.00
9314005,COMPONENTE / OUTROS,Tampa Guia p/ Microondas 150x143mm 93.14.005,11.90,0.00
9314006,COMPONENTE / OUTROS,Tampa Guia p/ Microondas Panasonic NN5556BH5206BH 140x138mm 93.14.006,11.90,0.00
5723004AM,CHAVE / ROTATIVA,Tampa Proteção Chave Amarela I4 57.23.004AM ,8.40,14.00
5723004AZ,CHAVE / ROTATIVA,Tampa Proteção Chave Azul I4 57.23.004AZ :AC8,8.40,11.00
5723004BR,CHAVE / ROTATIVA,Tampa Proteção Chave Branca I4 57.23.004BR  :AC8,8.40,14.00
5723004CZ,CHAVE / ROTATIVA,Tampa Proteção Chave Cinza I4 57.23.004CZ,8.40,14.00
5723004PT,CHAVE / ROTATIVA,Tampa Proteção Chave Preta I4 57.23.004PT,8.40,1.00
5723004RS,CHAVE / ROTATIVA,Tampa Proteção Chave Rosa I4 57.23.004RS :AC8,8.40,22.00
